title,table_number,cell_number,level,total,white,black,aian,asian,nhopi,sor,two,hispanic,sex,start_age,end_age,median_age
White; American Indian and Alaska Native; Asian,P11,P0110033,block,missing,Y,N,Y,Y,N,N,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P11,P0110034,block,missing,Y,N,Y,N,Y,N,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Some Other Race,P11,P0110035,block,missing,Y,N,Y,N,N,Y,missing,N,missing,18,110,missing
White; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110036,block,missing,Y,N,N,Y,Y,N,missing,N,missing,18,110,missing
White; Asian; Some Other Race,P11,P0110037,block,missing,Y,N,N,Y,N,Y,missing,N,missing,18,110,missing
White; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110038,block,missing,Y,N,N,N,Y,Y,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Asian,P11,P0110039,block,missing,N,Y,Y,Y,N,N,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P11,P0110040,block,missing,N,Y,Y,N,Y,N,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Some Other Race,P11,P0110041,block,missing,N,Y,Y,N,N,Y,missing,N,missing,18,110,missing
Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110042,block,missing,N,Y,N,Y,Y,N,missing,N,missing,18,110,missing
Black or African American; Asian; Some Other Race,P11,P0110043,block,missing,N,Y,N,Y,N,Y,missing,N,missing,18,110,missing
Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110044,block,missing,N,Y,N,N,Y,Y,missing,N,missing,18,110,missing
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110045,block,missing,N,N,Y,Y,Y,N,missing,N,missing,18,110,missing
American Indian and Alaska Native; Asian; Some Other Race,P11,P0110046,block,missing,N,N,Y,Y,N,Y,missing,N,missing,18,110,missing
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110047,block,missing,N,N,Y,N,Y,Y,missing,N,missing,18,110,missing
Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110048,block,missing,N,N,N,Y,Y,Y,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Asian,P11,P0110050,block,missing,Y,Y,Y,Y,N,N,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P11,P0110051,block,missing,Y,Y,Y,N,Y,N,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Some Other Race,P11,P0110052,block,missing,Y,Y,Y,N,N,Y,missing,N,missing,18,110,missing
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110053,block,missing,Y,Y,N,Y,Y,N,missing,N,missing,18,110,missing
White; Black or African American; Asian; Some Other Race,P11,P0110054,block,missing,Y,Y,N,Y,N,Y,missing,N,missing,18,110,missing
White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110055,block,missing,Y,Y,N,N,Y,Y,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110056,block,missing,Y,N,Y,Y,Y,N,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Asian; Some Other Race,P11,P0110057,block,missing,Y,N,Y,Y,N,Y,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110058,block,missing,Y,N,Y,N,Y,Y,missing,N,missing,18,110,missing
White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110059,block,missing,Y,N,N,Y,Y,Y,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110060,block,missing,N,Y,Y,Y,Y,N,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P11,P0110061,block,missing,N,Y,Y,Y,N,Y,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110062,block,missing,N,Y,Y,N,Y,Y,missing,N,missing,18,110,missing
Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110063,block,missing,N,Y,N,Y,Y,Y,missing,N,missing,18,110,missing
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110064,block,missing,N,N,Y,Y,Y,Y,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P11,P0110066,block,missing,Y,Y,Y,Y,Y,N,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P11,P0110067,block,missing,Y,Y,Y,Y,N,Y,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110068,block,missing,Y,Y,Y,N,Y,Y,missing,N,missing,18,110,missing
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110069,block,missing,Y,Y,N,Y,Y,Y,missing,N,missing,18,110,missing
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110070,block,missing,Y,N,Y,Y,Y,Y,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110071,block,missing,N,Y,Y,Y,Y,Y,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110073,block,missing,Y,Y,Y,Y,Y,Y,missing,N,missing,18,110,missing
Hispanic or Latino,P9,P0090002,block,missing,missing,missing,missing,missing,missing,missing,missing,hispanic,missing,0,110,missing
White alone,P9,P0090005,block,missing,Y,N,N,N,N,N,missing,N,missing,0,110,missing
Black or African American alone,P9,P0090006,block,missing,N,Y,N,N,N,N,missing,N,missing,0,110,missing
American Indian and Alaska Native alone,P9,P0090007,block,missing,N,N,Y,N,N,N,missing,N,missing,0,110,missing
Asian alone,P9,P0090008,block,missing,N,N,N,Y,N,N,missing,N,missing,0,110,missing
Native Hawaiian and Other Pacific Islander alone,P9,P0090009,block,missing,N,N,N,N,Y,N,missing,N,missing,0,110,missing
Some Other Race alone,P9,P0090010,block,missing,N,N,N,N,N,Y,missing,N,missing,0,110,missing
White; Black or African American,P9,P0090013,block,missing,Y,Y,N,N,N,N,missing,N,missing,0,110,missing
White; American Indian and Alaska Native,P9,P0090014,block,missing,Y,N,Y,N,N,N,missing,N,missing,0,110,missing
White; Asian,P9,P0090015,block,missing,Y,N,N,Y,N,N,missing,N,missing,0,110,missing
White; Native Hawaiian and Other Pacific Islander,P9,P0090016,block,missing,Y,N,N,N,Y,N,missing,N,missing,0,110,missing
White; Some Other Race,P9,P0090017,block,missing,Y,N,N,N,N,Y,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native,P9,P0090018,block,missing,N,Y,Y,N,N,N,missing,N,missing,0,110,missing
Black or African American; Asian,P9,P0090019,block,missing,N,Y,N,Y,N,N,missing,N,missing,0,110,missing
Black or African American; Native Hawaiian and Other Pacific Islander,P9,P0090020,block,missing,N,Y,N,N,Y,N,missing,N,missing,0,110,missing
Black or African American; Some Other Race,P9,P0090021,block,missing,N,Y,N,N,N,Y,missing,N,missing,0,110,missing
American Indian and Alaska Native; Asian,P9,P0090022,block,missing,N,N,Y,Y,N,N,missing,N,missing,0,110,missing
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P9,P0090023,block,missing,N,N,Y,N,Y,N,missing,N,missing,0,110,missing
American Indian and Alaska Native; Some Other Race,P9,P0090024,block,missing,N,N,Y,N,N,Y,missing,N,missing,0,110,missing
Asian; Native Hawaiian and Other Pacific Islander,P9,P0090025,block,missing,N,N,N,Y,Y,N,missing,N,missing,0,110,missing
Asian; Some Other Race,P9,P0090026,block,missing,N,N,N,Y,N,Y,missing,N,missing,0,110,missing
Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090027,block,missing,N,N,N,N,Y,Y,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native,P9,P0090029,block,missing,Y,Y,Y,N,N,N,missing,N,missing,0,110,missing
White; Black or African American; Asian,P9,P0090030,block,missing,Y,Y,N,Y,N,N,missing,N,missing,0,110,missing
White; Black or African American; Native Hawaiian and Other Pacific Islander,P9,P0090031,block,missing,Y,Y,N,N,Y,N,missing,N,missing,0,110,missing
White; Black or African American; Some Other Race,P9,P0090032,block,missing,Y,Y,N,N,N,Y,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Asian,P9,P0090033,block,missing,Y,N,Y,Y,N,N,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P9,P0090034,block,missing,Y,N,Y,N,Y,N,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Some Other Race,P9,P0090035,block,missing,Y,N,Y,N,N,Y,missing,N,missing,0,110,missing
White; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090036,block,missing,Y,N,N,Y,Y,N,missing,N,missing,0,110,missing
White; Asian; Some Other Race,P9,P0090037,block,missing,Y,N,N,Y,N,Y,missing,N,missing,0,110,missing
White; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090038,block,missing,Y,N,N,N,Y,Y,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Asian,P9,P0090039,block,missing,N,Y,Y,Y,N,N,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P9,P0090040,block,missing,N,Y,Y,N,Y,N,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Some Other Race,P9,P0090041,block,missing,N,Y,Y,N,N,Y,missing,N,missing,0,110,missing
Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090042,block,missing,N,Y,N,Y,Y,N,missing,N,missing,0,110,missing
Black or African American; Asian; Some Other Race,P9,P0090043,block,missing,N,Y,N,Y,N,Y,missing,N,missing,0,110,missing
Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090044,block,missing,N,Y,N,N,Y,Y,missing,N,missing,0,110,missing
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090045,block,missing,N,N,Y,Y,Y,N,missing,N,missing,0,110,missing
American Indian and Alaska Native; Asian; Some Other Race,P9,P0090046,block,missing,N,N,Y,Y,N,Y,missing,N,missing,0,110,missing
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090047,block,missing,N,N,Y,N,Y,Y,missing,N,missing,0,110,missing
Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090048,block,missing,N,N,N,Y,Y,Y,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Asian,P9,P0090050,block,missing,Y,Y,Y,Y,N,N,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P9,P0090051,block,missing,Y,Y,Y,N,Y,N,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Some Other Race,P9,P0090052,block,missing,Y,Y,Y,N,N,Y,missing,N,missing,0,110,missing
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090053,block,missing,Y,Y,N,Y,Y,N,missing,N,missing,0,110,missing
White; Black or African American; Asian; Some Other Race,P9,P0090054,block,missing,Y,Y,N,Y,N,Y,missing,N,missing,0,110,missing
White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090055,block,missing,Y,Y,N,N,Y,Y,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090056,block,missing,Y,N,Y,Y,Y,N,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Asian; Some Other Race,P9,P0090057,block,missing,Y,N,Y,Y,N,Y,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090058,block,missing,Y,N,Y,N,Y,Y,missing,N,missing,0,110,missing
White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090059,block,missing,Y,N,N,Y,Y,Y,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090060,block,missing,N,Y,Y,Y,Y,N,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P9,P0090061,block,missing,N,Y,Y,Y,N,Y,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090062,block,missing,N,Y,Y,N,Y,Y,missing,N,missing,0,110,missing
Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090063,block,missing,N,Y,N,Y,Y,Y,missing,N,missing,0,110,missing
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090064,block,missing,N,N,Y,Y,Y,Y,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P9,P0090066,block,missing,Y,Y,Y,Y,Y,N,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,P9,P0090067,block,missing,Y,Y,Y,Y,N,Y,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090068,block,missing,Y,Y,Y,N,Y,Y,missing,N,missing,0,110,missing
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090069,block,missing,Y,Y,N,Y,Y,Y,missing,N,missing,0,110,missing
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090070,block,missing,Y,N,Y,Y,Y,Y,missing,N,missing,0,110,missing
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090071,block,missing,N,Y,Y,Y,Y,Y,missing,N,missing,0,110,missing
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,P9,P0090073,block,missing,Y,Y,Y,Y,Y,Y,missing,N,missing,0,110,missing
Under 5 years,P12,P0120003,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,0,4,missing
5 to 9 years,P12,P0120004,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,5,9,missing
10 to 14 years,P12,P0120005,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,10,14,missing
15 to 17 years,P12,P0120006,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,15,17,missing
18 and 19 years,P12,P0120007,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,18,19,missing
20 years,P12,P0120008,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,20,20,missing
21 years,P12,P0120009,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,21,21,missing
22 to 24 years,P12,P0120010,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,22,24,missing
25 to 29 years,P12,P0120011,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,25,29,missing
30 to 34 years,P12,P0120012,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,30,34,missing
35 to 39 years,P12,P0120013,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,35,39,missing
40 to 44 years,P12,P0120014,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,40,44,missing
45 to 49 years,P12,P0120015,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,45,49,missing
50 to 54 years,P12,P0120016,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,50,54,missing
55 to 59 years,P12,P0120017,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,55,59,missing
60 and 61 years,P12,P0120018,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,60,61,missing
62 to 64 years,P12,P0120019,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,62,64,missing
65 and 66 years,P12,P0120020,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,65,66,missing
67 to 69 years,P12,P0120021,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,67,69,missing
70 to 74 years,P12,P0120022,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,70,74,missing
75 to 79 years,P12,P0120023,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,75,79,missing
80 to 84 years,P12,P0120024,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,80,84,missing
85 years and over,P12,P0120025,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,85,110,missing
Under 5 years,P12,P0120027,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,0,4,missing
5 to 9 years,P12,P0120028,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,5,9,missing
10 to 14 years,P12,P0120029,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,10,14,missing
15 to 17 years,P12,P0120030,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,15,17,missing
18 and 19 years,P12,P0120031,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,18,19,missing
20 years,P12,P0120032,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,20,20,missing
21 years,P12,P0120033,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,21,21,missing
22 to 24 years,P12,P0120034,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,22,24,missing
25 to 29 years,P12,P0120035,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,25,29,missing
30 to 34 years,P12,P0120036,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,30,34,missing
35 to 39 years,P12,P0120037,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,35,39,missing
40 to 44 years,P12,P0120038,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,40,44,missing
45 to 49 years,P12,P0120039,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,45,49,missing
50 to 54 years,P12,P0120040,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,50,54,missing
55 to 59 years,P12,P0120041,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,55,59,missing
60 and 61 years,P12,P0120042,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,60,61,missing
62 to 64 years,P12,P0120043,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,62,64,missing
65 and 66 years,P12,P0120044,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,65,66,missing
67 to 69 years,P12,P0120045,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,67,69,missing
70 to 74 years,P12,P0120046,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,70,74,missing
75 to 79 years,P12,P0120047,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,75,79,missing
80 to 84 years,P12,P0120048,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,80,84,missing
85 years and over,P12,P0120049,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,85,110,missing
Male:,P14,P0140002,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,0,19,missing
Under 1 year,P14,P0140003,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,0,0,missing
1 year,P14,P0140004,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,1,1,missing
2 years,P14,P0140005,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,2,2,missing
3 years,P14,P0140006,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,3,3,missing
4 years,P14,P0140007,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,4,4,missing
5 years,P14,P0140008,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,5,5,missing
6 years,P14,P0140009,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,6,6,missing
7 years,P14,P0140010,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,7,7,missing
8 years,P14,P0140011,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,8,8,missing
9 years,P14,P0140012,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,9,9,missing
10 years,P14,P0140013,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,10,10,missing
11 years,P14,P0140014,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,11,11,missing
12 years,P14,P0140015,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,12,12,missing
13 years,P14,P0140016,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,13,13,missing
14 years,P14,P0140017,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,14,14,missing
15 years,P14,P0140018,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,15,15,missing
16 years,P14,P0140019,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,16,16,missing
17 years,P14,P0140020,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,17,17,missing
18 years,P14,P0140021,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,18,18,missing
19 years,P14,P0140022,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,male,19,19,missing
Female:,P14,P0140023,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,0,19,missing
Under 1 year,P14,P0140024,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,0,0,missing
1 year,P14,P0140025,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,1,1,missing
2 years,P14,P0140026,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,2,2,missing
3 years,P14,P0140027,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,3,3,missing
4 years,P14,P0140028,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,4,4,missing
5 years,P14,P0140029,block,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,5,5,missing
